Scenario,Runtime_Mean,Runtime_SD,ESS_Mean,ESS_SD,MCSE_Mean,MCSE_SD,MAE_Mean,MAE_SD,Coverage_Mean,Coverage_SD,PPP_Total_Mean,PPP_Chi2_Mean
A: Constant,30.242259099006652,9.27207536247246,957.312672197489,3.7361770555516753e-06,0.00021008692265261287,2.8937623148215906e-06,0.028296185672025322,0.0041277267342515606,1.0,0.0,0.71924,0.0
B: Exponential Growth,32.70615718150139,8.043691505158678,957.3126709177818,2.2737367544323206e-13,0.0002484085936132615,1.2217992450729279e-06,0.03263205814811553,0.004742641104857052,0.999835,0.0010713426155996978,0.725654,0.0
C: Delayed Growth,33.29929625630379,7.670722336871052,957.3126709177818,2.2737367544323206e-13,0.0002900124346087785,9.293412728798879e-07,0.022379761858559225,0.0031469567246690004,1.0,0.0,0.791022,0.0
D: Decay,34.161846755027774,8.009886472789994,957.3126709177818,2.2737367544323206e-13,0.0003117138377810153,8.453004250546795e-07,0.021162092579465254,0.002985297816905502,1.0,0.0,0.830612,0.0
E: Peak,34.91738070702553,8.231041356864417,957.3126709177818,2.2737367544323206e-13,0.0002629695421722102,1.1226656420717942e-06,0.02786468289673379,0.0038325442693551825,1.0,0.0,0.823438,0.0
F: Valley,35.787714840888974,8.268241388321636,957.3126709177818,2.2737367544323206e-13,0.00024783014568164637,9.472535456322656e-07,0.027413303774687026,0.003972115639086822,1.0,0.0,0.771992,0.0
