date,cases_daily,deaths_daily,cases_ma7,deaths_ma7,cCFR,mCFR,BrtaCFR_mean_raw,BrtaCFR_lower_raw,BrtaCFR_upper_raw,BrtaCFR_mean_smooth,BrtaCFR_lower_smooth,BrtaCFR_upper_smooth
2021-08-02,8877.0,7.0,9893.857142857143,9.571428571428571,0.016092941926114723,0.017835078265503856,0.0019519216093524918,0.0008143326019591214,0.0037282196585426927,0.003346403041343621,0.0015301805025556769,0.0063599171959939724
2021-08-03,11644.0,15.0,10512.0,9.714285714285714,0.01591269816375054,0.017746051905424113,0.0020823196546074924,0.0009490400049719181,0.0038851033679865544,0.0033256018284919158,0.0015245559140677429,0.006309750970703948
2021-08-04,14053.0,9.0,11166.714285714286,9.714285714285714,0.01569154389829967,0.017643108108890686,0.00211311273051154,0.001010875976952225,0.004068752274610097,0.00331125162407964,0.0015218414090912226,0.006272129870941104
2021-08-05,15231.0,12.0,11853.285714285714,9.571428571428571,0.015461250494577401,0.017536109093691035,0.002231075879247636,0.0009789383265222246,0.004296819749149635,0.003303286284085009,0.0015219906109127698,0.006246965444621361
2021-08-06,15590.0,15.0,12503.714285714286,10.142857142857142,0.015235498561840841,0.017424507874250334,0.0022339811390511195,0.0010753786274689905,0.004026212793187537,0.0033016403166540244,0.0015249577006291384,0.006234169858920629
2021-08-07,15500.0,18.0,12994.0,11.571428571428571,0.015020948484431243,0.017308074550726957,0.002295265202257361,0.0010911122370238088,0.004182656176154722,0.0033062491201389676,0.0015306975313012505,0.006233656376795101
2021-08-08,14515.0,7.0,13630.0,11.857142857142858,0.014816323166504247,0.01717128563617305,0.002460503605713869,0.001200394543861965,0.0045662438167136795,0.003317049149647441,0.0015391657162915672,0.00624533967462699
2021-08-09,12329.0,17.0,14123.142857142857,13.285714285714286,0.014657577824963778,0.01703876821797701,0.0025679852187292336,0.001172810474687347,0.004895926766000339,0.003333978003628887,0.0015503186878422504,0.006269135984738692
2021-08-10,10866.0,14.0,14012.0,13.142857142857142,0.014519815266147616,0.016897279892432872,0.0025824604672348046,0.001209529701628896,0.004805504731140127,0.0033569744218825445,0.00156411372174832,0.006304963046680769
2021-08-11,15063.0,19.0,14156.285714285714,14.571428571428571,0.01433309055278233,0.01675653115364078,0.0024319547598114157,0.00103583495070392,0.004531952408227919,0.003385978186482926,0.0015805089238996543,0.0063527398518300705
2021-08-12,18225.0,28.0,14584.0,16.857142857142858,0.014118689659103236,0.016620571618719226,0.0023840905032057867,0.001102823420575824,0.004360171296270985,0.003420929917509939,0.0015994631745212757,0.006412386166973226
2021-08-13,20490.0,25.0,15284.0,18.285714285714285,0.013880216698488091,0.016475666532759243,0.0023469560044209418,0.0011460020015283793,0.004038167998159265,0.0034617707561588554,0.0016209360261428612,0.006483821824226654
2021-08-14,20113.0,17.0,15943.0,18.142857142857142,0.013647872482787286,0.016316183268672953,0.002591136953511365,0.0012342609010692473,0.004610097107568787,0.0035084419288018667,0.0016448875516828195,0.006566965766874172
2021-08-15,16164.0,8.0,16178.57142857143,18.285714285714285,0.013462118134280434,0.01614182287279871,0.0029628527911712836,0.0013980648927904846,0.005658641331063902,0.003560884186881885,0.0016712781395427964,0.006661734843490416
2021-08-16,15399.0,23.0,16617.14285714286,19.142857142857142,0.013303228431717393,0.015978911830365386,0.003023919637524554,0.0013659566758065084,0.005767994465022324,0.0036190371191371015,0.0017000682332748997,0.0067680423460527855
2021-08-17,19231.0,36.0,17812.14285714286,22.285714285714285,0.013116797761146564,0.015825545154547534,0.0027887278745486643,0.0013782297756088696,0.00512697439869261,0.00368283833457004,0.0017312180142019496,0.006885796291601545
2021-08-18,22836.0,34.0,18922.571428571428,24.428571428571427,0.01289588863995421,0.015665929558222352,0.0025604952945312374,0.001264989612497102,0.0048084500572856135,0.0037522225167675822,0.0017646870263324321,0.007014897451347374
