date,cases_daily,deaths_daily,cumulative_cases,cumulative_deaths,cases_ma7,deaths_ma7,cCFR,mCFR,BrtaCFR_mean_raw,BrtaCFR_lower_raw,BrtaCFR_upper_raw,BrtaCFR_mean_smooth,BrtaCFR_lower_smooth,BrtaCFR_upper_smooth
2020-12-15,14432,500,1351510,22475,21971.571428571428,447.57142857142856,0.016636206909308848,0.021165721651496928,0.08316480138308573,0.06385630578220255,0.10562410614806417,0.048417582741417935,0.03957027431491173,0.06594176358895401
2020-12-16,27728,952,1379238,23427,22959.14285714286,499.2857142857143,0.01699199122994001,0.021670433869576185,0.0024345828446086233,0.0002123344249180388,0.010305115267736246,0.049227360917880755,0.04028714344490312,0.0669541130366594
2020-12-17,26923,698,1406161,24125,23422.571428571428,536.1428571428571,0.017163041785400106,0.021922384170123276,0.0010640415735878866,0.00013713868981726782,0.004275801950374178,0.05003683451560558,0.041000651440147036,0.0679646369505541
2020-12-18,33777,813,1439938,24938,23980.0,566.8571428571429,0.017325051495272713,0.022261699447002882,0.0007441381277941881,9.75856784254208e-05,0.0027068814632605688,0.05084495083343815,0.04170973219015605,0.0689718983806383
2020-12-19,31300,702,1471238,25640,24388.85714285714,596.2857142857143,0.017433617130607013,0.022483228288124765,0.0007737661316506689,0.00010948766694534459,0.002777584976073682,0.051650559499096145,0.042413229814429694,0.06997439946390795
2020-12-20,22771,409,1494009,26049,24756.14285714286,608.8571428571429,0.01744166199802009,0.022436119109615803,0.0009647821871674032,0.00012279465232299146,0.003597921970131389,0.05245241422777785,0.04310990061843079,0.07097058668310258
2020-12-21,16643,226,1510652,26275,24796.285714285714,614.2857142857143,0.017399109788356286,0.02222958149345483,0.0013113167139603373,0.0001260538735813339,0.005291519345182324,0.053249175879099477,0.043798416318071215,0.07195885698317585
2020-12-22,19528,731,1530180,27006,25524.285714285714,647.2857142857143,0.017654785711484922,0.022445839865327118,0.0012900197474266114,0.00016107087571375853,0.005089104323359236,0.05403941679610686,0.04447736852409388,0.0729375646619771
2020-12-23,24740,962,1554920,27968,25097.428571428572,648.7142857142857,0.017992565533918144,0.02283983578920646,0.0011773413569164798,0.0001672899609874268,0.004138761165236446,0.054821626388073294,0.045145274456391875,0.07390502893573528
2020-12-24,32195,802,1587115,28770,25850.571428571428,663.5714285714286,0.018132901522573977,0.023087442097724044,0.0017062436406057233,0.00021029405847836755,0.006388022663087185,0.05559421789750811,0.04580058383740354,0.07485954206628927
