Scenario,Runtime_Mean,Runtime_SD,ESS_Mean,ESS_SD,MCSE_Mean,MCSE_SD,MAE_Mean,MAE_SD,Coverage_Mean,Coverage_SD,PPP_Total_Mean,PPP_Chi2_Mean
A: Constant,14.4416663646698,0.044634103775024414,957.312670917782,0.0,0.00020918588188030915,1.50093192262732e-06,0.03164974244378932,0.0014319866229603306,1.0,0.0,0.717,0.0
B: Exponential Growth,14.452622294425964,0.13708293437957764,957.312670917782,0.0,0.00024891446612887783,1.0059070928143221e-07,0.03843479757548055,0.002047545561721986,0.9975,0.0025000000000000022,0.7050000000000001,0.0
C: Delayed Growth,14.552659034729004,0.1619706153869629,957.312670917782,0.0,0.00029072307205588524,8.039049796399855e-07,0.026915078820375797,0.0023128332927300453,1.0,0.0,0.786,0.0
D: Decay,14.238134026527405,0.02586233615875244,957.312670917782,0.0,0.0003122879223474617,1.0332657019661545e-06,0.023117762794667825,0.0016339739582306115,1.0,0.0,0.885,0.0
E: Peak,14.511123538017273,0.26533806324005127,957.312670917782,0.0,0.0002622494304763314,6.124836068003171e-07,0.026531116309220164,0.0007617361070916592,1.0,0.0,0.875,0.0
F: Valley,14.276893258094788,0.14693009853363037,957.312670917782,0.0,0.0002486252671574634,9.106952967870134e-07,0.029794846849315784,0.0011802344050608603,1.0,0.0,0.825,0.0
