Scenario,runtime_mean,runtime_std,mae_mean,mae_std,cCFR_mae_mean,cCFR_mae_std,mCFR_mae_mean,mCFR_mae_std,coverage_mean,coverage_std
A: Constant,15.578765988349915,0.6492758989334106,0.028152611965849936,0.0020012218172962715,0.42203894447918455,0.021568316167735774,0.021836082747546816,0.0033741292511467545,1.0,0.0
B: Exponential Growth,15.790628552436829,0.5778359174728394,0.0338444510375015,0.001542254614129237,1.0359205911352771,0.015564943616424354,0.6228131920300004,0.015135055106068995,0.9975,0.0025000000000000022
C: Delayed Growth,13.313846111297607,0.027632713317871094,0.023726161581709468,0.003174101276585621,0.6729611632512484,0.013216121470307318,0.25992961908961587,0.005463474481873454,1.0,0.0
D: Decay,13.369475960731506,0.10389912128448486,0.020304702900422977,0.0026078150171385713,0.6086015328246566,0.0030023052468143296,0.3350334377495767,0.0016312887166612666,1.0,0.0
E: Peak,13.39612889289856,0.09622502326965332,0.023473891467418254,0.0003270418487534704,0.8184908395574446,0.008672317008999175,0.49128781694558626,0.007929323401420885,1.0,0.0
F: Valley,13.129727125167847,0.11411237716674805,0.027152231393418123,0.0008504702801837884,0.6942334666487806,0.0010749074815093462,0.6351547944511757,0.00603190376195778,1.0,0.0
