Scenario,Scenario_Name,MCMC_Runtime_Mean,MCMC_Runtime_SD,ADVI_Runtime_Mean,ADVI_Runtime_SD,Speedup,MCMC_MAE,ADVI_MAE,MCMC_Coverage,ADVI_Coverage
A,Constant,66.48718464374542,0.8912919759750366,14.503185987472534,0.003900289535522461,4.5843157980029545,0.013183140244719043,0.028723249498643435,1.0,1.0
B,Exponential Growth,52.76781415939331,0.4629366397857666,14.742595076560974,0.28018081188201904,3.579275825277739,0.027356040689737973,0.038298837970696595,1.0,1.0
C,Delayed Growth,61.70376813411713,0.01671421527862549,14.76266634464264,0.07206332683563232,4.179717043900364,0.013758261075370624,0.020415056003209517,1.0,1.0
D,Decay,63.04242396354675,1.1132664680480957,14.744022011756897,0.19728624820709229,4.275795567401938,0.01387004665154654,0.018201467851231896,1.0,1.0
E,Peak,51.22315776348114,0.8859590291976929,14.653218030929565,0.09995293617248535,3.4956934139218334,0.02510993541064739,0.028470943237612865,1.0,1.0
F,Valley,43.604610562324524,0.5392645597457886,14.787528991699219,0.13503098487854004,2.948742185851428,0.026459722137933794,0.030217910003281983,1.0,1.0
